received_at	application_id	device_id	f_port	f_cnt	rssi	snr	data_rate_index	consumed_airtime	frm_payload	decoded_payload
2021-09-16T11:51:52.495713075Z	ardunio-uno-app	testt	1	132	-33	7.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:52:00.870887504Z	ardunio-uno-app	testt	1	133	-32	8.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:52:09.259237467Z	ardunio-uno-app	testt	1	134	-34	9	5	0.082176s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:52:17.618262533Z	ardunio-uno-app	testt	1	135	-34	7.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:52:35.371696462Z	ardunio-uno-app	testt	1	137	-33	10	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:52:43.738542807Z	ardunio-uno-app	testt	1	138	-35	9.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:54:17.821037703Z	ardunio-uno-app	testt	1	149	-32	7.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:54:26.228056983Z	ardunio-uno-app	testt	1	150	-34	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:54:52.334289516Z	ardunio-uno-app	testt	1	153	-34	9.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:32:32.191470319Z	ardunio-uno-app	testt	1	394	-32	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:41:09.772154474Z	ardunio-uno-app	testt	1	452	-37	10	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:41:18.133222753Z	ardunio-uno-app	testt	1	453	-37	7.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:43:08.969596448Z	ardunio-uno-app	testt	1	466	-36	8.75	5	0.082176s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:43:43.454577587Z	ardunio-uno-app	testt	1	470	-33	7.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:43:51.832777514Z	ardunio-uno-app	testt	1	471	-34	9.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:55:35.310729143Z	ardunio-uno-app	testt	1	553	-29	8.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:55:43.678030635Z	ardunio-uno-app	testt	1	554	-33	10	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T12:56:09.786466308Z	ardunio-uno-app	testt	1	557	-30	10	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T13:00:00.829343500Z	ardunio-uno-app	testt	1	584	-31	7.25	5	0.082176s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T13:01:52.657567148Z	ardunio-uno-app	testt	1	597	-31	10.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T13:02:01.028407454Z	ardunio-uno-app	testt	1	598	-29	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T13:02:09.375039187Z	ardunio-uno-app	testt	1	599	-31	9.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
